ortho,type,post90,cgram,genre,nombre,infover,lemme
aoûtien,1,aoutien,NOM,m,s,,aoûtien
apparaît,1,apparait,VER,,,ind:pre:3s;,apparaître
apparaîtra,1,apparaitra,VER,,,ind:fut:3s;,apparaître
apparaîtrai,1,apparaitrai,VER,,,ind:fut:1s;,apparaître
apparaîtraient,1,apparaitraient,VER,,,cnd:pre:3p;,apparaître
apparaîtrais,1,apparaitrais,VER,,,cnd:pre:1s;cnd:pre:2s;,apparaître
apparaîtrait,1,apparaitrait,VER,,,cnd:pre:3s;,apparaître
apparaîtras,1,apparaitras,VER,,,ind:fut:2s;,apparaître
apparaître,1,apparaitre,VER,,,inf;,apparaître
apparaîtrez,1,apparaitrez,VER,,,ind:fut:2p;,apparaître
apparaîtrions,1,apparaitrions,VER,,,cnd:pre:1p;,apparaître
apparaîtrons,1,apparaitrons,VER,,,ind:fut:1p;,apparaître
apparaîtront,1,apparaitront,VER,,,ind:fut:3p;,apparaître
appas,1,appâts,NOM,m,p,,appas
appuie-tête,2,appuie-tête/appuie-têtes,NOM,m,,,appuie-tête
après-dîner,1,après-diner,NOM,m,s,,après-dîner
après-dîners,1,après-diners,NOM,m,p,,après-dîner
arc-boutant,1,arcboutant,NOM,m,s,,arc-boutant
arc-boutant,1,arcboutant,VER,,,par:pre;,arc-bouter
ardûment,1,ardument,ADV,,,,ardûment
argua,1,argüa,VER,,,ind:pas:3s;,arguer
arguais,1,argüais,VER,,,ind:imp:2s;,arguer
arguait,1,argüait,VER,,,ind:imp:3s;,arguer
arguant,1,argüant,VER,,,par:pre;,arguer
argue,1,argüe,VER,,,imp:pre:2s;ind:pre:3s;,arguer
arguer,1,argüer,VER,,,inf;,arguer
argué,1,argüé,VER,m,s,par:pas;,arguer
arrière-goût,1,arrière-gout,NOM,m,s,,arrière-goût
arrière-goûts,1,arrière-gouts,NOM,m,p,,arrière-goût
artefact,1,artéfact,NOM,m,s,,artefact
artefacts,1,artéfacts,NOM,m,p,,artefact
aspirateurs-traîneaux,1,aspirateurs-traineaux,NOM,m,p,,aspirateurs-traîneaux
assener,1,asséner,VER,,,inf;,assener
assené,1,asséné,VER,m,s,par:pas;,assener
assenée,1,assénée,VER,f,s,par:pas;,assener
assenées,1,assénées,VER,f,p,par:pas;,assener
assenés,1,assénés,VER,m,p,par:pas;,assener
asseoir,1,assoir,VER,,,inf;,asseoir
assidûment,1,assidument,ADV,,,,assidûment
assiégera,1,assiègera,VER,,,ind:fut:3s;,assiéger
assiégeraient,1,assiègeraient,VER,,,cnd:pre:3p;,assiéger
assécherait,1,assècherait,VER,,,cnd:pre:3s;,assécher
attellent,1,attèlent,VER,,,ind:pre:3p;,atteler
attellera,1,attèlera,VER,,,ind:fut:3s;,atteler
attellerais,1,attèlerais,VER,,,cnd:pre:1s;,atteler
auto-stop,1,autostop,NOM,m,s,,auto-stop
auto-stoppeur,1,autostoppeur,NOM,m,s,,auto-stoppeur
auto-stoppeurs,1,autostoppeurs,NOM,m,p,,auto-stoppeur
auto-stoppeuse,1,autostoppeuse,NOM,f,s,,auto-stoppeur
auto-stoppeuses,1,autostoppeuses,NOM,f,p,,auto-stoppeur
avant-dîner,2,avant-diner/avant-diners,NOM,m,,,avant-dîner
avant-goût,1,avant-gout,NOM,m,s,,avant-goût
avérera,1,avèrera,VER,,,ind:fut:3s;,avérer
avéreraient,1,avèreraient,VER,,,cnd:pre:3p;,avérer
avérerait,1,avèrerait,VER,,,cnd:pre:3s;,avérer
aînesse,1,ainesse,NOM,f,s,,aînesse
aîné,1,ainé,ADJ,m,s,,aîné
aîné,1,ainé,NOM,m,s,,aîné
aînée,1,ainée,ADJ,f,s,,aîné
aînée,1,ainée,NOM,f,s,,aîné
aînées,1,ainées,ADJ,f,p,,aîné
aînées,1,ainées,NOM,f,p,,aîné
