ortho,type,post90,cgram,genre,nombre,infover,lemme
coupe-papier,2,coupe-papier/coupe-papiers,NOM,m,,,coupe-papier
couvre-pied,1,couvrepied,NOM,m,s,,couvre-pied
couvre-pieds,2,couvrepied/couvrepieds,NOM,m,,,couvre-pieds
cover-girl,1,covergirl,NOM,f,s,,cover-girl
cover-girls,1,covergirls,NOM,f,p,,cover-girl
cow-boy,1,cowboy,NOM,m,s,,cow-boy
cow-boys,1,cowboys,NOM,m,p,,cow-boy
coût,1,cout,NOM,m,s,,coût
coûta,1,couta,VER,,,ind:pas:3s;,coûter
coûtaient,1,coutaient,VER,,,ind:imp:3p;,coûter
coûtais,1,coutais,VER,,,ind:imp:1s;,coûter
coûtait,1,coutait,VER,,,ind:imp:3s;,coûter
coûtant,1,coutant,ADJ,m,s,,coûtant
coûtant,1,coutant,VER,,,par:pre;,coûter
coûte,1,coute,VER,,,imp:pre:2s;ind:pre:1s;ind:pre:3s;,coûter
coûtent,1,coutent,VER,,,ind:pre:3p;,coûter
coûter,1,couter,VER,,,ind:pre:2p;inf;,coûter
coûtera,1,coutera,VER,,,ind:fut:3s;,coûter
coûterai,1,couterai,VER,,,ind:fut:1s;,coûter
coûteraient,1,couteraient,VER,,,cnd:pre:3p;,coûter
coûterait,1,couterait,VER,,,cnd:pre:3s;,coûter
coûteras,1,couteras,VER,,,ind:fut:2s;,coûter
coûteront,1,couteront,VER,,,ind:fut:3p;,coûter
coûteuse,1,couteuse,ADJ,f,s,,coûteux
coûteusement,1,couteusement,ADV,,,,coûteusement
coûteuses,1,couteuses,ADJ,f,p,,coûteux
coûteux,1,couteux,ADJ,m,,,coûteux
coûtez,1,coutez,VER,,,ind:pre:2p;,coûter
coûtions,1,coutions,VER,,,ind:imp:1p;,coûter
coûts,1,couts,NOM,m,p,,coût
coûtât,1,coutât,VER,,,sub:imp:3s;,coûter
coûté,1,couté,VER,m,s,par:pas;,coûter
coûtée,1,coutée,VER,f,s,par:pas;,coûter
coûtées,1,coutées,VER,f,p,par:pas;,coûter
coûtés,1,coutés,VER,m,p,par:pas;,coûter
craquelle,1,craquèle,VER,,,ind:pre:3s;,craqueler
craquellent,1,craquèlent,VER,,,ind:pre:3p;,craqueler
craquette,1,craquète,VER,,,ind:pre:3s;,craqueter
croche-pied,1,crochepied,NOM,m,s,,croche-pied
croche-pieds,1,crochepieds,NOM,m,p,,croche-pied
croque-madame,1,croquemadame,NOM,m,s,,croque-madame
croque-mitaine,1,croquemitaine,NOM,m,s,,croque-mitaine
croque-monsieur,2,croquemonsieur/croquemonsieurs,NOM,m,,,croque-monsieur
croque-mort,1,croquemort,NOM,m,s,,croque-mort
croque-morts,1,croquemorts,NOM,m,p,,croque-mort
croîtraient,1,croitraient,VER,,,cnd:pre:3p;,croître
croîtrait,1,croitrait,VER,,,cnd:pre:3s;,croître
croître,1,croitre,VER,,,inf;,croître
croûte,1,croute,NOM,f,s,,croûte
croûte,1,croute,VER,,,ind:pre:3s;,croûter
croûter,1,crouter,VER,,,inf;,croûter
croûtes,1,croutes,NOM,f,p,,croûte
croûtes,1,croutes,VER,,,sub:pre:2s;,croûter
croûteuse,1,crouteuse,ADJ,f,s,,croûteux
croûteuses,1,crouteuses,ADJ,f,p,,croûteux
croûteux,1,crouteux,ADJ,m,,,croûteux
croûton,1,crouton,NOM,m,s,,croûton
croûtonnais,1,croutonnais,VER,,,ind:imp:1s;,croûtonner
croûtons,1,croutons,NOM,m,p,,croûton
croûté,1,crouté,VER,m,s,par:pas;,croûter
croûtée,1,croutée,VER,f,s,par:pas;,croûter
croûtées,1,croutées,VER,f,p,par:pas;,croûter
crécerelle,1,crècerelle,NOM,f,s,,crécerelle
crécerelles,1,crècerelles,NOM,f,p,,crécerelle
crémerie,1,crèmerie,NOM,f,s,,crémerie
crémeries,1,crèmeries,NOM,f,p,,crémerie
crénelait,1,crènelait,VER,,,ind:imp:3s;,créneler
crénelé,1,crènelé,VER,m,s,par:pas;,créneler
crénelé,1,crènelé,ADJ,m,s,,crénelé
crénelée,1,crènelée,VER,f,s,par:pas;,créneler
crénelée,1,crènelée,ADJ,f,s,,crénelé
crénelées,1,crènelées,VER,f,p,par:pas;,créneler
crénelées,1,crènelées,ADJ,f,p,,crénelé
crénelés,1,crènelés,ADJ,m,p,,crénelé
crû,1,cru,VER,m,s,par:pas;,croître
crûment,1,crument,ADV,,,,crûment
cuissot,1,cuisseau,NOM,m,s,,cuissot
cuissots,1,cuisseaux,NOM,m,p,,cuissot
cédera,1,cèdera,VER,,,ind:fut:3s;,céder
céderai,1,cèderai,VER,,,ind:fut:1s;,céder
céderaient,1,cèderaient,VER,,,cnd:pre:3p;,céder
céderais,1,cèderais,VER,,,cnd:pre:1s;cnd:pre:2s;,céder
céderait,1,cèderait,VER,,,cnd:pre:3s;,céder
céderas,1,cèderas,VER,,,ind:fut:2s;,céder
céderez,1,cèderez,VER,,,ind:fut:2p;,céder
céderiez,1,cèderiez,VER,,,cnd:pre:2p;,céder
céderons,1,cèderons,VER,,,ind:fut:1p;,céder
céderont,1,cèderont,VER,,,ind:fut:3p;,céder
céleri,1,cèleri,NOM,m,s,,céleri
céleris,1,cèleris,NOM,m,p,,céleri
célébrera,1,célèbrera,VER,,,ind:fut:3s;,célébrer
célébrerais,1,célèbrerais,VER,,,cnd:pre:1s;,célébrer
célébrerait,1,célèbrerait,VER,,,cnd:pre:3s;,célébrer
célébrerons,1,célèbrerons,VER,,,ind:fut:1p;,célébrer
célébreront,1,célèbreront,VER,,,ind:fut:3p;,célébrer
decrescendo,1,décrescendo,ADV,,,,decrescendo
decrescendo,1,décrescendo,NOM,m,s,,decrescendo
delirium,1,délirium,NOM,m,s,,delirium
delirium tremens,2,délirium tremens/déliriums tremens,NOM,m,,,delirium tremens
dentellière,1,dentelière,ADJ,f,s,,dentellier
dentellière,1,dentelière,NOM,f,s,,dentellière
desiderata,2,désidérata/désidératas,NOM,m,,,desiderata
dessille,1,décille,VER,,,ind:pre:3s;,dessiller
dessiller,1,déciller,VER,,,inf;,dessiller
dessilleront,1,décilleront,VER,,,ind:fut:3p;,dessiller
dessillé,1,décillé,VER,m,s,par:pas;,dessiller
dessillés,1,décillés,VER,m,p,par:pas;,dessiller
dessoûla,1,dessoula,VER,,,ind:pas:3s;,dessoûler
dessoûlait,1,dessoulait,VER,,,ind:imp:3s;,dessoûler
dessoûle,1,dessoule,VER,,,imp:pre:2s;ind:pre:1s;ind:pre:3s;,dessoûler
dessoûlent,1,dessoulent,VER,,,ind:pre:3p;,dessoûler
dessoûler,1,dessouler,VER,,,inf;,dessoûler
dessoûles,1,dessoules,VER,,,ind:pre:2s;,dessoûler
dessoûlez,1,dessoulez,VER,,,imp:pre:2p;ind:pre:2p;,dessoûler
dessoûlé,1,dessoulé,VER,m,s,par:pas;,dessoûler
dessoûlée,1,dessoulée,VER,f,s,par:pas;,dessoûler
dessécherait,1,dessècherait,VER,,,cnd:pre:3s;,dessécher
dessécheront,1,dessècheront,VER,,,ind:fut:3p;,dessécher
diesel,1,diésel,NOM,m,s,,diesel
diesels,1,diésels,NOM,m,p,,diesel
différera,1,diffèrera,VER,,,ind:fut:3s;,différer
différerais,1,diffèrerais,VER,,,cnd:pre:1s;,différer
différerait,1,diffèrerait,VER,,,cnd:pre:3s;,différer
différeront,1,diffèreront,VER,,,ind:fut:3p;,différer
digérera,1,digèrera,VER,,,ind:fut:3s;,digérer
digérerait,1,digèrerait,VER,,,cnd:pre:3s;,digérer
disparaît,1,disparait,VER,,,ind:pre:3s;,disparaître
disparaîtra,1,disparaitra,VER,,,ind:fut:3s;,disparaître
disparaîtrai,1,disparaitrai,VER,,,ind:fut:1s;,disparaître
disparaîtraient,1,disparaitraient,VER,,,cnd:pre:3p;,disparaître
disparaîtrais,1,disparaitrais,VER,,,cnd:pre:1s;cnd:pre:2s;,disparaître
disparaîtrait,1,disparaitrait,VER,,,cnd:pre:3s;,disparaître
disparaîtras,1,disparaitras,VER,,,ind:fut:2s;,disparaître
disparaître,1,disparaitre,VER,,,inf;,disparaître
disparaîtrez,1,disparaitrez,VER,,,ind:fut:2p;,disparaître
disparaîtrions,1,disparaitrions,VER,,,cnd:pre:1p;,disparaître
disparaîtrons,1,disparaitrons,VER,,,ind:fut:1p;,disparaître
disparaîtront,1,disparaitront,VER,,,ind:fut:3p;,disparaître
dissous,1,dissout,VER,m,,imp:pre:2s;ind:pre:1s;ind:pre:2s;par:pas;par:pas;,dissoudre
dissous,1,dissout,ADJ,m,p,,dissous
douceâtre,1,douçâtre,ADJ,,s,,douceâtre
douceâtres,1,douçâtres,ADJ,,p,,douceâtre
déboîta,1,déboita,VER,,,ind:pas:3s;,déboîter
déboîtaient,1,déboitaient,VER,,,ind:imp:3p;,déboîter
déboîtais,1,déboitais,VER,,,ind:imp:1s;,déboîter
déboîtait,1,déboitait,VER,,,ind:imp:3s;,déboîter
déboîtant,1,déboitant,VER,,,par:pre;,déboîter
déboîte,1,déboite,VER,,,imp:pre:2s;ind:pre:1s;ind:pre:3s;,déboîter
déboîtement,1,déboitement,NOM,m,s,,déboîtement
déboîter,1,déboiter,VER,,,inf;,déboîter
déboîtez,1,déboitez,VER,,,imp:pre:2p;ind:pre:2p;,déboîter
déboîté,1,déboité,VER,m,s,par:pas;,déboîter
déboîtée,1,déboitée,VER,f,s,par:pas;,déboîter
déboîtées,1,déboitées,VER,f,p,par:pas;,déboîter
décachette,1,décachète,VER,,,ind:pre:1s;ind:pre:3s;,décacheter
décachetteraient,1,décachèteraient,VER,,,cnd:pre:3p;,décacheter
déchaîna,1,déchaina,VER,,,ind:pas:3s;,déchaîner
déchaînaient,1,déchainaient,VER,,,ind:imp:3p;,déchaîner
déchaînais,1,déchainais,VER,,,ind:imp:1s;ind:imp:2s;,déchaîner
déchaînait,1,déchainait,VER,,,ind:imp:3s;,déchaîner
déchaînant,1,déchainant,VER,,,par:pre;,déchaîner
déchaîne,1,déchaine,VER,,,imp:pre:2s;ind:pre:1s;ind:pre:3s;,déchaîner
déchaînement,1,déchainement,NOM,m,s,,déchaînement
déchaînements,1,déchainements,NOM,m,p,,déchaînement
déchaînent,1,déchainent,VER,,,ind:pre:3p;,déchaîner
déchaîner,1,déchainer,VER,,,inf;,déchaîner
déchaînera,1,déchainera,VER,,,ind:fut:3s;,déchaîner
déchaînerait,1,déchainerait,VER,,,cnd:pre:3s;,déchaîner
déchaîneras,1,déchaineras,VER,,,ind:fut:2s;,déchaîner
déchaînez,1,déchainez,VER,,,imp:pre:2p;ind:pre:2p;,déchaîner
déchaînât,1,déchainât,VER,,,sub:imp:3s;,déchaîner
déchaînèrent,1,déchainèrent,VER,,,ind:pas:3p;,déchaîner
déchaîné,1,déchainé,VER,m,s,par:pas;,déchaîner
déchaîné,1,déchainé,ADJ,m,s,,déchaîné
déchaîné,1,déchainé,NOM,m,s,,déchaîné
déchaînée,1,déchainée,VER,f,s,par:pas;,déchaîner
déchaînée,1,déchainée,ADJ,f,s,,déchaîné
déchaînée,1,déchainée,NOM,f,s,,déchaîné
déchaînées,1,déchainées,VER,f,p,par:pas;,déchaîner
déchaînées,1,déchainées,ADJ,f,p,,déchaîné
déchaînées,1,déchainées,NOM,f,p,,déchaîné
déchaînés,1,déchainés,VER,m,p,par:pas;,déchaîner
déchaînés,1,déchainés,ADJ,m,p,,déchaîné
déchaînés,1,déchainés,NOM,m,p,,déchaîné
déchiquette,1,déchiquète,VER,,,imp:pre:2s;ind:pre:3s;,déchiqueter
déchiquettent,1,déchiquètent,VER,,,ind:pre:3p;,déchiqueter
déchiquettes,1,déchiquètes,VER,,,ind:pre:2s;,déchiqueter
décroît,1,décroit,NOM,m,s,,décroît
décroît,1,décroit,VER,,,ind:pre:3s;,décroître
décroître,1,décroitre,VER,,,inf;,décroître
décrétera,1,décrètera,VER,,,ind:fut:3s;,décréter
décréterai,1,décrèterai,VER,,,ind:fut:1s;,décréter
décréterais,1,décrèterais,VER,,,cnd:pre:1s;,décréter
décréterait,1,décrèterait,VER,,,cnd:pre:3s;,décréter
décréteront,1,décrèteront,VER,,,ind:fut:3p;,décréter
déficelle,1,déficèle,VER,,,ind:pre:3s;,déficeler
défraîchi,1,défraichi,ADJ,m,s,,défraîchi
défraîchi,1,défraichi,VER,m,s,par:pas;,défraîchir
défraîchie,1,défraichie,ADJ,f,s,,défraîchi
défraîchie,1,défraichie,VER,f,s,par:pas;,défraîchir
défraîchies,1,défraichies,ADJ,f,p,,défraîchi
défraîchies,1,défraichies,VER,f,p,par:pas;,défraîchir
défraîchir,1,défraichir,VER,,,inf;,défraîchir
défraîchis,1,défraichis,ADJ,m,p,,défraîchi
défraîchis,1,défraichis,VER,m,p,par:pas;,défraîchir
défraîchissait,1,défraichissait,VER,,,ind:imp:3s;,défraîchir
déférerait,1,défèrerait,VER,,,cnd:pre:3s;,déférer
dégoût,1,dégout,NOM,m,s,,dégoût
dégoûta,1,dégouta,VER,,,ind:pas:3s;,dégoûter
dégoûtai,1,dégoutai,VER,,,ind:pas:1s;,dégoûter
dégoûtaient,1,dégoutaient,VER,,,ind:imp:3p;,dégoûter
dégoûtais,1,dégoutais,VER,,,ind:imp:1s;ind:imp:2s;,dégoûter
dégoûtait,1,dégoutait,VER,,,ind:imp:3s;,dégoûter
dégoûtant,1,dégoutant,ADJ,m,s,,dégoûtant
dégoûtant,1,dégoutant,NOM,m,s,,dégoûtant
dégoûtant,1,dégoutant,VER,,,par:pre;,dégoûter
dégoûtante,1,dégoutante,ADJ,f,s,,dégoûtant
dégoûtante,1,dégoutante,NOM,f,s,,dégoûtant
dégoûtantes,1,dégoutantes,ADJ,f,p,,dégoûtant
dégoûtantes,1,dégoutantes,NOM,f,p,,dégoûtant
dégoûtants,1,dégoutants,ADJ,m,p,,dégoûtant
dégoûtants,1,dégoutants,NOM,m,p,,dégoûtant
dégoûtation,1,dégoutation,NOM,f,s,,dégoûtation
dégoûtations,1,dégoutations,NOM,f,p,,dégoûtation
dégoûte,1,dégoute,VER,,,imp:pre:2s;ind:pre:1s;ind:pre:3s;,dégoûter
dégoûtent,1,dégoutent,VER,,,ind:pre:3p;,dégoûter
dégoûter,1,dégouter,VER,,,imp:pre:2p;ind:pre:2p;inf;,dégoûter
dégoûtera,1,dégoutera,VER,,,ind:fut:3s;,dégoûter
dégoûteraient,1,dégouteraient,VER,,,cnd:pre:3p;,dégoûter
dégoûterais,1,dégouterais,VER,,,cnd:pre:1s;,dégoûter
dégoûterait,1,dégouterait,VER,,,cnd:pre:3s;,dégoûter
dégoûtez,1,dégoutez,VER,,,ind:pre:2p;,dégoûter
dégoûts,1,dégouts,NOM,m,p,,dégoût
dégoûtât,1,dégoutât,VER,,,sub:imp:3s;,dégoûter
dégoûtèrent,1,dégoutèrent,VER,,,ind:pas:3p;,dégoûter
dégoûté,1,dégouté,VER,m,s,par:pas;,dégoûter
dégoûté,1,dégouté,ADJ,m,s,,dégoûté
dégoûté,1,dégouté,NOM,m,s,,dégoûté
dégoûtée,1,dégoutée,VER,f,s,par:pas;,dégoûter
dégoûtée,1,dégoutée,ADJ,f,s,,dégoûté
dégoûtée,1,dégoutée,NOM,f,s,,dégoûté
dégoûtées,1,dégoutées,ADJ,f,p,,dégoûté
dégoûtées,1,dégoutées,NOM,f,p,,dégoûté
dégoûtés,1,dégoutés,VER,m,p,par:pas;,dégoûter
dégoûtés,1,dégoutés,ADJ,m,p,,dégoûté
dégoûtés,1,dégoutés,NOM,m,p,,dégoûté
délibérera,1,délibèrera,VER,,,ind:fut:3s;,délibérer
délibéreraient,1,délibèreraient,VER,,,cnd:pre:3p;,délibérer
déplaît,1,déplait,VER,,,ind:pre:3s;,déplaire
dépucelle,1,dépucèle,VER,,,ind:pre:1s;ind:pre:3s;,dépuceler
dépucellera,1,dépucèlera,VER,,,ind:fut:3s;,dépuceler
déréglementation,1,dérèglementation,NOM,f,s,,déréglementation
désenchaînement,1,désenchainement,NOM,m,s,,désenchaînement
désenchaîner,1,désenchainer,VER,,,inf;,désenchaîner
désenvoûter,1,désenvouter,VER,,,inf;,désenvoûter
désenvoûteurs,1,désenvouteurs,NOM,m,p,,désenvoûteur
désenvoûté,1,désenvouté,VER,m,s,par:pas;,désenvoûter
désintégrera,1,désintègrera,VER,,,ind:fut:3s;,désintégrer
désintégreront,1,désintègreront,VER,,,ind:fut:3p;,désintégrer
dételle,1,détèle,VER,,,imp:pre:2s;ind:pre:3s;,dételer
dîme,1,dime,NOM,f,s,,dîme
dîmes,1,dimes,VER,,,ind:pas:1p;,dire
dîmes,1,dimes,NOM,f,p,,dîme
dîna,1,dina,VER,,,ind:pas:3s;,dîner
dînai,1,dinai,VER,,,ind:pas:1s;,dîner
dînaient,1,dinaient,VER,,,ind:imp:3p;,dîner
dînais,1,dinais,VER,,,ind:imp:1s;ind:imp:2s;,dîner
dînait,1,dinait,VER,,,ind:imp:3s;,dîner
dînant,1,dinant,VER,,,par:pre;,dîner
dînatoire,1,dinatoire,ADJ,,s,,dînatoire
dînatoires,1,dinatoires,ADJ,f,p,,dînatoire
dîne,1,dine,VER,,,imp:pre:2s;ind:pre:1s;ind:pre:3s;,dîner
dînent,1,dinent,VER,,,ind:pre:3p;,dîner
dîner,1,diner,ADJ,m,s,,dîner
dîner,1,diner,NOM,m,s,,dîner
dîner,1,diner,VER,,,inf;;,dîner
dînera,1,dinera,VER,,,ind:fut:3s;,dîner
dînerai,1,dinerai,VER,,,ind:fut:1s;,dîner
dîneraient,1,dineraient,VER,,,cnd:pre:3p;,dîner
dînerais,1,dinerais,VER,,,cnd:pre:1s;cnd:pre:2s;,dîner
dînerait,1,dinerait,VER,,,cnd:pre:3s;,dîner
dîneras,1,dineras,VER,,,ind:fut:2s;,dîner
dînerez,1,dinerez,VER,,,ind:fut:2p;,dîner
dîneriez,1,dineriez,VER,,,cnd:pre:2p;,dîner
dînerions,1,dinerions,VER,,,cnd:pre:1p;,dîner
dînerons,1,dinerons,VER,,,ind:fut:1p;,dîner
dîneront,1,dineront,VER,,,ind:fut:3p;,dîner
dîners,1,diners,NOM,m,p,,dîner
dînes,1,dines,VER,,,ind:pre:2s;,dîner
dînette,1,dinette,NOM,f,s,,dînette
dînettes,1,dinettes,NOM,f,p,,dînette
dîneur,1,dineur,NOM,m,s,,dîneur
dîneurs,1,dineurs,NOM,m,p,,dîneur
dîneuse,1,dineuse,NOM,f,s,,dîneur
dînez,1,dinez,VER,,,imp:pre:2p;ind:pre:2p;,dîner
dîniez,1,diniez,VER,,,ind:imp:2p;,dîner
dînions,1,dinions,VER,,,ind:imp:1p;,dîner
dînons,1,dinons,VER,,,imp:pre:1p;ind:pre:1p;,dîner
dînâmes,1,dinâmes,VER,,,ind:pas:1p;,dîner
dînât,1,dinât,VER,,,sub:imp:3s;,dîner
dînèrent,1,dinèrent,VER,,,ind:pas:3p;,dîner
dîné,1,diné,VER,m,s,par:pas;,dîner
dûment,1,dument,ADV,,,,dûment
eczéma,1,exéma,NOM,m,s,,eczéma
eczémas,1,exémas,NOM,m,p,,eczéma
eczémateuses,1,exémateuses,ADJ,f,p,,eczémateux
eczémateux,1,exémateux,ADJ,m,p,,eczémateux
eczémateux,1,exémateux,NOM,m,,,eczémateux
edelweiss,1,édelweiss,NOM,m,,,edelweiss
emboîta,1,emboita,VER,,,ind:pas:3s;,emboîter
emboîtables,1,emboitables,ADJ,m,p,,emboîtable
emboîtage,1,emboitage,NOM,m,s,,emboîtage
emboîtages,1,emboitages,NOM,m,p,,emboîtage
emboîtai,1,emboitai,VER,,,ind:pas:1s;,emboîter
emboîtaient,1,emboitaient,VER,,,ind:imp:3p;,emboîter
emboîtais,1,emboitais,VER,,,ind:imp:1s;,emboîter
emboîtait,1,emboitait,VER,,,ind:imp:3s;,emboîter
emboîtant,1,emboitant,VER,,,par:pre;,emboîter
emboîtas,1,emboitas,VER,,,ind:pas:2s;,emboîter
emboîte,1,emboite,VER,,,imp:pre:2s;ind:pre:1s;ind:pre:3s;,emboîter
emboîtement,1,emboitement,NOM,m,s,,emboîtement
emboîtent,1,emboitent,VER,,,ind:pre:3p;,emboîter
emboîter,1,emboiter,VER,,,inf;,emboîter
emboîterai,1,emboiterai,VER,,,ind:fut:1s;,emboîter
emboîtions,1,emboitions,VER,,,ind:imp:1p;,emboîter
emboîtons,1,emboitons,VER,,,ind:pre:1p;,emboîter
emboîtures,1,emboitures,NOM,f,p,,emboîture
emboîtâmes,1,emboitâmes,VER,,,ind:pas:1p;,emboîter
emboîtèrent,1,emboitèrent,VER,,,ind:pas:3p;,emboîter
emboîté,1,emboité,VER,m,s,par:pas;,emboîter
emboîtée,1,emboitée,VER,f,s,par:pas;,emboîter
emboîtées,1,emboitées,VER,f,p,par:pas;,emboîter
emboîtés,1,emboités,VER,m,p,par:pas;,emboîter
embûche,1,embuche,NOM,f,s,,embûche
embûches,1,embuches,NOM,f,p,,embûche
empaquette,1,empaquète,VER,,,imp:pre:2s;ind:pre:3s;,empaqueter
empaquettent,1,empaquètent,VER,,,ind:pre:3p;,empaqueter
empaquettes,1,empaquètes,VER,,,ind:pre:2s;,empaqueter
empiétement,1,empiètement,NOM,m,s,,empiétement
empiétements,1,empiètements,NOM,m,p,,empiétement
emporte-pièce,2,emporte-pièce/emporte-pièces,NOM,m,,,emporte-pièce
en-avant,2,en-avant/en-avants,NOM,m,,,en-avant
en-but,2,en-but/en-buts,NOM,m,,,en-but
enchaîna,1,enchaina,VER,,,ind:pas:3s;,enchaîner
enchaînai,1,enchainai,VER,,,ind:pas:1s;,enchaîner
enchaînaient,1,enchainaient,VER,,,ind:imp:3p;,enchaîner
enchaînais,1,enchainais,VER,,,ind:imp:1s;,enchaîner
enchaînait,1,enchainait,VER,,,ind:imp:3s;,enchaîner
enchaînant,1,enchainant,VER,,,par:pre;,enchaîner
enchaîne,1,enchaine,VER,,,imp:pre:2s;ind:pre:1s;ind:pre:3s;,enchaîner
enchaînement,1,enchainement,NOM,m,s,,enchaînement
enchaînements,1,enchainements,NOM,m,p,,enchaînement
enchaînent,1,enchainent,VER,,,ind:pre:3p;,enchaîner
enchaîner,1,enchainer,VER,,,inf;,enchaîner
enchaînera,1,enchainera,VER,,,ind:fut:3s;,enchaîner
enchaîneraient,1,enchaineraient,VER,,,cnd:pre:3p;,enchaîner
enchaînerait,1,enchainerait,VER,,,cnd:pre:3s;,enchaîner
enchaîneras,1,enchaineras,VER,,,ind:fut:2s;,enchaîner
enchaînerez,1,enchainerez,VER,,,ind:fut:2p;,enchaîner
enchaînerons,1,enchainerons,VER,,,ind:fut:1p;,enchaîner
enchaînez,1,enchainez,VER,,,imp:pre:2p;ind:pre:2p;,enchaîner
enchaînons,1,enchainons,VER,,,imp:pre:1p;ind:pre:1p;,enchaîner
enchaînèrent,1,enchainèrent,VER,,,ind:pas:3p;,enchaîner
enchaîné,1,enchainé,VER,m,s,par:pas;,enchaîner
enchaîné,1,enchainé,ADJ,m,s,,enchaîné
enchaînée,1,enchainée,VER,f,s,par:pas;,enchaîner
enchaînée,1,enchainée,ADJ,f,s,,enchaîné
enchaînées,1,enchainées,VER,f,p,par:pas;,enchaîner
enchaînées,1,enchainées,ADJ,f,p,,enchaîné
enchaînés,1,enchainés,VER,m,p,par:pas;,enchaîner
enchaînés,1,enchainés,ADJ,m,p,,enchaîné
encloîtrer,1,encloitrer,VER,,,inf;,encloîtrer
encroûtaient,1,encroutaient,VER,,,ind:imp:3p;,encroûter
encroûte,1,encroute,VER,,,ind:pre:1s;,encroûter
encroûtement,1,encroutement,NOM,m,s,,encroûtement
encroûter,1,encrouter,VER,,,inf;,encroûter
encroûtèrent,1,encroutèrent,VER,,,ind:pas:3p;,encroûter
encroûté,1,encrouté,VER,m,s,par:pas;,encroûter
encroûté,1,encrouté,ADJ,m,s,,encroûté
encroûté,1,encrouté,NOM,m,s,,encroûté
encroûtée,1,encroutée,VER,f,s,par:pas;,encroûter
encroûtées,1,encroutées,VER,f,p,par:pas;,encroûter
encroûtés,1,encroutés,VER,m,p,par:pas;,encroûter
encroûtés,1,encroutés,ADJ,m,p,,encroûté
encroûtés,1,encroutés,NOM,m,p,,encroûté
ensorcelle,1,ensorcèle,VER,,,ind:pre:3s;,ensorceler
ensorcellement,1,ensorcèlement,NOM,m,s,,ensorcellement
ensorcellent,1,ensorcèlent,VER,,,ind:pre:3p;,ensorceler
ensorcelles,1,ensorcèles,VER,,,ind:pre:2s;,ensorceler
entraîna,1,entraina,VER,,,ind:pas:3s;,entraîner
entraînai,1,entrainai,VER,,,ind:pas:1s;,entraîner
entraînaient,1,entrainaient,VER,,,ind:imp:3p;,entraîner
entraînais,1,entrainais,VER,,,ind:imp:1s;ind:imp:2s;,entraîner
entraînait,1,entrainait,VER,,,ind:imp:3s;,entraîner
entraînant,1,entrainant,ADJ,m,s,,entraînant
entraînant,1,entrainant,VER,,,par:pre;,entraîner
entraînante,1,entrainante,ADJ,f,s,,entraînant
entraînants,1,entrainants,ADJ,m,p,,entraînant
entraîne,1,entraine,VER,,,imp:pre:2s;ind:pre:1s;ind:pre:3s;sub:pre:3s;,entraîner
entraînement,1,entrainement,NOM,m,s,,entraînement
entraînements,1,entrainements,NOM,m,p,,entraînement
entraînent,1,entrainent,VER,,,ind:pre:3p;sub:pre:3p;,entraîner
entraîner,1,entrainer,VER,,,inf;;inf;;inf;;,entraîner
entraînera,1,entrainera,VER,,,ind:fut:3s;,entraîner
entraînerai,1,entrainerai,VER,,,ind:fut:1s;,entraîner
entraîneraient,1,entraineraient,VER,,,cnd:pre:3p;,entraîner
entraînerais,1,entrainerais,VER,,,cnd:pre:1s;cnd:pre:2s;,entraîner
entraînerait,1,entrainerait,VER,,,cnd:pre:3s;,entraîner
entraîneras,1,entraineras,VER,,,ind:fut:2s;,entraîner
entraînerez,1,entrainerez,VER,,,ind:fut:2p;,entraîner
entraîneriez,1,entraineriez,VER,,,cnd:pre:2p;,entraîner
entraîneront,1,entraineront,VER,,,ind:fut:3p;,entraîner
entraînes,1,entraines,VER,,,ind:pre:2s;sub:pre:2s;,entraîner
entraîneur,1,entraineur,NOM,m,s,,entraîneur
entraîneurs,1,entraineurs,NOM,m,p,,entraîneur
entraîneuse,1,entraineuse,NOM,f,s,,entraîneur
entraîneuses,1,entraineuses,NOM,f,p,,entraîneur
entraînez,1,entrainez,VER,,,imp:pre:2p;ind:pre:2p;,entraîner
entraîniez,1,entrainiez,VER,,,ind:imp:2p;sub:pre:2p;,entraîner
entraînons,1,entrainons,VER,,,imp:pre:1p;ind:pre:1p;,entraîner
entraînât,1,entrainât,VER,,,sub:imp:3s;,entraîner
entraînèrent,1,entrainèrent,VER,,,ind:pas:3p;,entraîner
entraîné,1,entrainé,VER,m,s,par:pas;,entraîner
entraîné,1,entrainé,ADJ,m,s,,entraîné
entraînée,1,entrainée,VER,f,s,ind:imp:3p;par:pas;,entraîner
entraînée,1,entrainée,ADJ,f,s,,entraîné
entraînées,1,entrainées,VER,f,p,par:pas;,entraîner
entraînées,1,entrainées,ADJ,f,p,,entraîné
entraînés,1,entrainés,VER,m,p,par:pas;,entraîner
entraînés,1,entrainés,ADJ,m,p,,entraîné
entre-jambes,2,entre-jambe/entre-jambes,NOM,m,,,entre-jambes
envoûtaient,1,envoutaient,VER,,,ind:imp:3p;,envoûter
envoûtait,1,envoutait,VER,,,ind:imp:3s;,envoûter
envoûtant,1,envoutant,ADJ,m,s,,envoûtant
envoûtant,1,envoutant,VER,,,par:pre;,envoûter
envoûtante,1,envoutante,ADJ,f,s,,envoûtant
envoûtantes,1,envoutantes,ADJ,f,p,,envoûtant
envoûtants,1,envoutants,ADJ,m,p,,envoûtant
envoûte,1,envoute,VER,,,ind:pre:1s;ind:pre:3s;,envoûter
