pre1990,post1990
llanero,llanéro
llaneros,llanéros
lobbies,lobbys
lorries,lorrys
louveteries,louvèteries
maharadjahs,maharadjas
maharajahs,maharadjas
maharajas,maharadjas
maraîcher,maraicher
maraîchère,maraichère
marguillier,marguiller
marguillière,marguillère
marketing,markéting
marketings,markétings
marqueteries,marquèteries
matches,matchs
maître,maitre
maîtresse,maitresse
maîtresses,maitresses
maîtrisable,maitrisable
maîtrise,maitrise
maîtriser,maitriser
maîtrises,maitrises
mehalla,méhalla
moderato,modérato
moderatos,modératos
monosaccharide,monosaccaride
monosaccharides,monosaccarides
morcellement,morcèlement
mousqueterie,mousquèterie
mousqueteries,mousquèteries
muphtis,muftis
musellement,musèlement
muserolle,muserole
muserolles,museroles
mégasécheresse,mégasècheresse
mûreraie,mureraie
mûreraies,mureraies
mûres,mures
mûrier,murier
mûriforme,muriforme
mûriformes,muriformes
mûrissage,murissage
mûrissages,murissages
mûrissement,murissement
mûrissements,murissements
mûrisserie,murisserie
mûrisseries,murisseries
mûron,muron
mûrons,murons
naître,naitre
nocebo,nocébo
nocebos,nocébos
noroît,noroit
nénuphar,nénufar
oignon,ognon
oignons,ognons
ouillière,ouillère
paellas,paélias
paneterie,panèterie
paneteries,panèteries
pankas,pancas
paracanoë,paracanoé
paraître,paraitre
parqueteries,parquèteries
paître,paitre
peillier,peiller
peilliers,peillers
peillière,peillère
peillières,peillères
penalty,pénalty
pennies,pennys
peso,péso
piqûre,piqure
pizzeria,pizzéria
pizzerias,pizzérias
piétement,piètement
placebo,placébo
polysaccharide,polysaccaride
polysaccharides,polysaccarides
portfolio,portefolio
pouillier,pouiller
poétereau,poètereau
praesidium,présidium
presqu’île,presqu’ile
presqu’îles,presqu’iles
proscenium,proscénium
prosceniums,proscéniums
proxies,proxys
prud’homie,prudhommie
prud’homies,prudhommies
prud’homme,prudhomme
prud’hommes,prudhommes
præsidium,présidium
préconnaître,préconnaitre
pudding,pouding
puddings,poudings
puîné,puiné
pécheresse,pècheresse
pétrodiesel,pétrodiésel
quebracho,québracho
quillier,quiller
quincaillière,quincaillère
rafraîchir,rafraichir
rafraîchissement,rafraichissement
rafraîchissoir,rafraichissoir
ragoût,ragout
rasseoir,rassoir
realpolitik,réalpolitique
realpolitiks,réalpolitiques
reboursoufler,reboursouffler
receleur,recéleur
receleurs,recéleurs
receleuse,recéleuse
recepage,recépage
recepages,recépages
recloîtrer,recloitrer
recroître,recroitre
redisparaître,redisparaitre
redécroître,redécroitre
redîner,rediner
refrènement,réfrènement
refrènements,réfrènements
regîter,regiter
remboîtage,remboitage
remboîtages,remboitages
remboîtement,remboitement
remboîtements,remboitements
remûrir,remurir
renaître,renaitre
rencloîtrer,rencloitrer
renfaîtage,renfaitage
renfaîtages,renfaitages
renouvellement,renouvèlement
repersifler,repersiffler
retransparaître,retransparaitre
revolver,révolver
revolvériser,révolvériser
reître,reitre
reîtres,reitres
ripieno,ripiéno
rocker,rockeur
romancero,romancéro
romanceros,romancéros
rongeure,rongeüre
rousserolle,rousserole
rousserolles,rousseroles
ruissellement,ruissèlement
réalpolitik,réalpolitique
réalpolitiks,réalpolitiques
réapparaître,réapparaitre
réglementaire,règlementaire
réglementarisme,règlementarisme
réglementarismes,règlementarismes
réglementariste,règlementariste
réglementaristes,règlementaristes
réglementation,règlementation
réglementer,règlementer
réinterpeller,réinterpeler
rösti,rœsti
saccharate,saccarate
saccharide,saccaride
saccharides,saccarides
saccharificateur,saccarificateur
saccharificateurs,saccarificateurs
saccharification,saccarification
saccharifications,saccarifications
saccharifier,saccarifier
saccharifère,saccarifère
saccharifères,saccarifères
saccharimétrique,saccarimétrique
saccharimétriques,saccarimétriques
saccharine,saccarine
sacchariner,saccariner
saccharines,saccarines
saccharologie,saccarologie
saccharologies,saccarologies
saccharolé,saccarolé
saccharolés,saccarolés
saccharomycose,saccaromycose
saccharomycoses,saccaromycoses
saccharose,saccarose
saccharoses,saccaroses
saccharure,saccarure
saccharures,saccarures
scheich,cheik
schnorchel,schnorkel
schnorchels,schnorkels
schéol,shéol
schéols,shéols
scooter,scouteur
senior,sénior
seniornaute,séniornaute
seniornautes,séniornautes
seniors,séniors
senoritas,sénioritas
serpillière,serpillère
shampooing,shampoing
sheikh,cheik
shekel,shékel
slashes,slashs
smorebrod,smeurebreud
sorgho,sorgo
sostenuto,sosténuto
sostenutos,sosténutos
soûlaud,soulaud
soûler,souler
soûlerie,soulerie
soûlon,soulon
soûlons,soulons
soûlot,soulot
soûlots,soulots
spermaceti,spermacéti
spermacetis,spermacétis
stemm,stem
surates,sourates
surcoût,surcout
surcroître,surcroitre
surentraînement,surentrainement
surentraînements,surentrainements
suroît,suroit
surpiqûre,surpiqure
sécheresse,sècheresse
sécherie,sècherie
sénevé,sènevé
sénevés,sènevés
séneçon,sèneçon
séneçons,sèneçons
sûrement,surement
sûreté,sureté
sûretés,suretés
s’abîmer,s’abimer
s’eczématiser,s’exématiser
s’entrereconnaître,s’entrereconnaitre
s’entr’appeler,s’entrappeler
s’entr’éprouver,s’entréprouver
tenuto,ténuto
tequila,téquila
thalwegs,talwegs
torero,toréro
transparaître,transparaitre
traînage,trainage
traînailler,trainailler
traînasser,trainasser
traînasserie,trainasserie
traîne,traine
traîneau,traineau
traînelle,trainelle
traînelles,trainelles
traînement,trainement
traînements,trainements
traîner,trainer
traînerie,trainerie
traîneries,traineries
traîneur,traineur
traîneuse,traineuse
traînière,trainière
traînières,trainières
traîtres,traitres
traîtresse,traitresse
trolle,trole
trolles,troles
tzar,tsar
tzars,tsars
téterelle,tèterelle
téterelles,tèterelles
vaquero,vaquéro
velum,vélum
velums,vélums
vergeure,vergeüre
vergeures,vergeüres
veto,véto
vilenies,vilénies
voceratrice,vocératrice
voceratrices,vocératrices
vocero,vocéro
voceros,vocéros
voûtain,voutain
voûtains,voutains
voûte,voute
vrillier,vriller
vrilliers,vrillers
vrillière,vrillère
vrillières,vrillères
vénerie,vènerie
wallabies,wallabys
webmaîtriser,webmaitriser
whiskies,whiskys
yoghourt,yogourt
zenana,zénana
zenanas,zénanas
ébûcheter,ébucheter
écroûtage,écroutage
écroûtages,écroutages
écroûtement,écroutement
écroûtements,écroutements
écroûter,écrouter
écroûteuse,écrouteuse
écroûteuses,écrouteuses
égrugeure,égrugeüre
égrugeures,égrugeüres
épître,épitre
étincellement,étincèlement
étincellements,étincèlements
éventaillier,éventailler
éventailliers,éventaillers
événement,évènement
événementialiser,évènementialiser
île,ile
îlot,ilot
îlotiers,ilotiers
