#ligne,Grafie initiale,Lème,Catégorie,Raison,Grafie modifiée
1349,atrophie,atrophie,n.f.,3,atrofie
1350,atrophié,atrophié,adj.,3,atrofié
1350,atrophiée,atrophié,adj.,3,atrofiée
1351,atrophier,atrophier,v.tr.,3,atrofier
1352,atrophique,atrophique,adj.,3,atrofique
1353,attabler,attabler,v.tr.,1,atabler
1354,attachant,attachant,adj.,1,atachant
1354,attachante,attachant,adj.,1,atachante
1355,attache,attache,n.f.,1,atache
1356,attaché,attaché,n.,1,ataché
1356,attachée,attaché,n.,1,atachée
1357,attaché,attaché,p.p.,1,ataché
1357,attachée,attaché,p.p.,1,atachée
1357,attaché,attaché,adj.,1,ataché
1357,attachée,attaché,adj.,1,atachée
1358,attachement,attachement,n.m.,1,atachement
1359,attacher,attacher,v.tr.,1,atacher
1360,attagène,attagène,n.m.,1,atagène
1361,attaquable,attaquable,adj.,1,ataquable
1362,attaquant,attaquant,n.,1,ataquant
1362,attaquante,attaquant,n.,1,ataquante
1363,attaque,attaque,n.f.,1,ataque
1364,attaquer,attaquer,v.tr.,1,ataquer
1365,attardé,attardé,adj.,1,atardé
1365,attardée,attardé,adj.,1,atardée
1366,attarder,attarder,v.tr.,1,atarder
1367,atteignable,atteignable,adj.,1,ateignable
1368,atteindre,atteindre,v.tr.,1,ateindre
1369,atteint,atteint,adj.,1,ateint
1369,atteinte,atteint,adj.,1,ateinte
1370,atteinte,atteinte,n.f.,1,ateinte
1371,attelage,attelage,n.m.,1,atelage
1372,atteler,atteler,v.tr.,1,ateler
1372,attelle,atteler,v.tr.,1,atèle
1373,attelle,attelle,n.f.,1,atèle
1374,attenant,attenant,adj.,1,atenant
1374,attenante,attenant,adj.,1,atenante
1375,attendre,attendre,v.tr.,1,atendre
1376,attendrir,attendrir,v.tr.,1,atendrir
1377,attendrissant,attendrissant,adj.,1,atendrissant
1377,attendrissante,attendrissant,adj.,1,atendrissante
1378,attendrissement,attendrissement,n.m.,1,atendrissement
1379,attendrisseur,attendrisseur,n.m.,1,atendrisseur
1380,attendu,attendu,adj.,1,atendu
1380,attendue,attendu,adj.,1,atendue
1380,attendu,attendu,prép.,1,atendu
1380,attendu,attendu,n.m.,1,atendu
1381,attentat,attentat,n.m.,1,atentat
1382,attentatoire,attentatoire,adj.,1,atentatoire
1383,attente,attente,n.f.,1,atente
1384,attenter,attenter,v.,1,atenter
1385,attentif,attentif,adj.,1,atentif
1385,attentive,attentif,adj.,1,atentive
1386,attention,attention,n.f.,1,atention
1387,attentionné,attentionné,adj.,1,atentioné
1387,attentionnée,attentionné,adj.,1,atentionée
1388,attentisme,attentisme,n.m.,1,atentisme
1389,attentiste,attentiste,adj.,1,atentiste
1389,attentiste,attentiste,n.,1,atentiste
1390,attentivement,attentivement,adv.,1,atentivement
1391,atténuant,atténuant,adj.,1,aténuant
1391,atténuante,atténuant,adj.,1,aténuante
1392,atténuateur,atténuateur,n.m.,1,aténuateur
1393,atténuation,atténuation,n.f.,1,aténuation
1394,atténuer,atténuer,v.tr.,1,aténuer
1395,atterrage,atterrage,n.m.,1,atérage
1396,atterrant,atterrant,adj.,1,atérant
1396,atterrante,atterrant,adj.,1,atérante
1397,atterrer,atterrer,v.tr.,1,atérer
1398,atterrir,atterrir,v.intr.,1,atérir
1399,atterrissage,atterrissage,n.m.,1,atérissage
1400,atterrissement,atterrissement,n.m.,1,atérissement
1401,attestation,attestation,n.f.,1,atestation
1402,attesté,attesté,adj.,1,atesté
1402,attestée,attesté,adj.,1,atestée
1403,attester,attester,v.tr.,1,atester
1404,attiédir,attiédir,v.tr.,1,atiédir
1405,attiédissement,attiédissement,n.m.,1,atiédissement
1406,attifement,attifement,n.m.,1,atifement
1407,attifer,attifer,v.tr.,1,atifer
1408,attiger,attiger,v.,1,atiger
1409,attique,attique,n.m.,1,atique
1410,attirail,attirail,n.m.,1,atirail
1411,attirance,attirance,n.f.,1,atirance
1412,attirant,attirant,adj.,1,atirant
1412,attirante,attirant,adj.,1,atirante
1413,attirer,attirer,v.tr.,1,atirer
1414,attisement,attisement,n.m.,1,atisement
1415,attiser,attiser,v.tr.,1,atiser
1416,attitré,attitré,adj.,1,atitré
1416,attitrée,attitré,adj.,1,atitrée
1417,attitude,attitude,n.f.,1,atitude
1418,attorney,attorney,n.m.,1,atorney
1419,attouchement,attouchement,n.m.,1,atouchement
1420,attracteur,attracteur,adj.,1,atracteur
1420,attractrice,attracteur,adj.,1,atractrice
1421,attractif,attractif,adj.,1,atractif
1421,attractive,attractif,adj.,1,atractive
1422,attraction,attraction,n.f.,1,atraction
1423,attractivité,attractivité,n.f.,1,atractivité
1424,attrait,attrait,n.m.,1,atrait
1425,attrapade,attrapade,n.f.,1,atrapade
1426,attrape,attrape,n.f.,1,atrape
1427,attraper,attraper,v.tr.,1,atraper
1428,attrayant,attrayant,adj.,1,atrayant
1428,attrayante,attrayant,adj.,1,atrayante
1429,attriau,attriau,n.m.,* 1,atriau
1429,attriaux,attriau,n.m.,* 1 2,atriaus
1430,attribuable,attribuable,adj.,1,atribuable
1431,attribuer,attribuer,v.tr.,1,atribuer
1432,attribut,attribut,n.m.,1,atribut
1433,attributaire,attributaire,n.,1,atributaire
1433,attributaire,attributaire,adj.,1,atributaire
1434,attributif,attributif,adj.,1,atributif
1434,attributive,attributif,adj.,1,atributive
1435,attribution,attribution,n.f.,1,atribution
1436,attristant,attristant,adj.,1,atristant
1436,attristante,attristant,adj.,1,atristante
1437,attrister,attrister,v.tr.,1,atrister
1438,attrition,attrition,n.f.,1,atrition
1439,attroupement,attroupement,n.m.,1,atroupement
1440,attrouper,attrouper,v.tr.,1,atrouper
1441,atypie,atypie,n.f.,3,atipie
1442,atypique,atypique,adj.,3,atipique
1443,aubette,aubette,n.f.,1,aubète
1444,audacieux,audacieux,adj.m.sg.pl.,2,audacieus
1445,audiogramme,audiogramme,n.m.,1,audiograme
1446,audiophile,audiophile,n.,3,audiofile
1447,audiophone,audiophone,n.m.,3,audiofone
1448,audioprothésiste,audioprothésiste,n.,3,audioprotésiste
1449,audiovisuelle,audiovisuel,adj.f.,1,audiovisuèle
1450,auditionner,auditionner,v.,1,auditioner
1451,auguraux,augural,adj.m.pl.,2,auguraus
1452,augustinienne,augustinien,adj.f.,1,augustiniène
1453,aulx,ail,n.m.pl.,2,auls
1454,auriculothérapie,auriculothérapie,n.f.,3,auriculotérapie
1455,aurignacienne,aurignacien,adj.f.,1,aurignaciène
1456,auroch,auroch,n.m.,3’,auroc
1457,auroraux,auroral,adj.m.pl.,2,auroraus
1458,australopithèque,australopithèque,n.m.,3,australopitèque
1459,authenticité,authenticité,n.f.,3,autenticité
1460,authentification,authentification,n.f.,3,autentification
1461,authentifier,authentifier,v.tr.,3,autentifier
1462,authentique,authentique,adj.,3,autentique
1463,authentiquement,authentiquement,adv.,3,autentiquement
1464,authentiquer,authentiquer,v.tr.,3,autentiquer
1465,autoaccusation,autoaccusation,n.f.,1,autoacusation
1466,autoadhésif,autoadhésif,adj.,3’,autoadésif
1466,autoadhésive,autoadhésif,adj.,3’,autoadésive
1466,autoadhésif,autoadhésif,n.m.,3’,autoadésif
1467,autoallumage,autoallumage,n.m.,1,autoalumage
1468,autobiographie,autobiographie,n.f.,3,autobiografie
1469,autobiographique,autobiographique,adj.,3,autobiografique
1470,autocatalyse,autocatalyse,n.f.,3,autocatalise
1471,autocatalytique,autocatalytique,adj.,3,autocatalitique
1472,autochrome,autochrome,adj.,3,autocrome
1472,autochrome,autochrome,n.f.,3,autocrome
1473,autochromie,autochromie,n.f.,3,autocromie
1474,autochtone,autochtone,adj.,3,autoctone
1474,autochtone,autochtone,n.,3,autoctone
1475,autocollant,autocollant,adj.,1,autocolant
1475,autocollante,autocollant,adj.,1,autocolante
1475,autocollant,autocollant,n.m.,1,autocolant
1476,autocommutateur,autocommutateur,n.m.,1,autocomutateur
1477,autoconcurrence,autoconcurrence,n.f.,1,autoconcurence
1478,autoconsommation,autoconsommation,n.f.,1,autoconsomation
1479,autocouchette,autocouchette,adj.,1,autocouchète
1479,autocouchette,autocouchette,n.m.,1,autocouchète
1480,autoflagellation,autoflagellation,n.f.,1,autoflagélation
1481,autoflageller (s’),autoflageller (s’),v.pron.,1,autoflagéler (s’)
1482,autogestionnaire,autogestionnaire,adj.,1,autogestionaire
1483,autographe,autographe,adj.,3,autografe
1483,autographe,autographe,n.m.,3,autografe
1484,autographie,autographie,n.f.,3,autografie
1485,autographier,autographier,v.tr.,3,autografier
1486,autographique,autographique,adj.,3,autografique
1487,autogreffe,autogreffe,n.f.,1,autogrèfe
1488,autogreffon,autogreffon,n.m.,1,autogréfon
1489,autolyse,autolyse,n.f.,3,autolise
1490,automaticienne,automaticien,n.f.,1,automaticiène
1491,automnaux,automnal,adj.m.pl.,2,automnaus
1492,automorphisme,automorphisme,n.m.,3,automorfisme
1493,autonettoyant,autonettoyant,adj.,1,autonétoyant
1493,autonettoyante,autonettoyant,adj.,1,autonétoyante
1494,autonyme,autonyme,adj.,3,autonime
1495,autonymie,autonymie,n.f.,3,autonimie
1496,autonymique,autonymique,adj.,3,autonimique
1497,autopollinisation,autopollinisation,n.f.,1,autopolinisation
1498,autoprotolyse,autoprotolyse,n.f.,3,autoprotolise
1499,autoradiographie,autoradiographie,n.f.,3,autoradiografie
1500,autostoppeur,autostoppeur,n.,1,autostopeur
1500,autostoppeuse,autostoppeur,n.,1,autostopeuse
1501,autosuffisance,autosuffisance,n.f.,1,autosufisance
1502,autosuffisant,autosuffisant,adj.,1,autosufisant
1502,autosuffisante,autosuffisant,adj.,1,autosufisante
1503,autotrophe,autotrophe,adj.,3,autotrofe
1504,autotrophie,autotrophie,n.f.,3,autotrofie
1505,autrichienne,autrichien,adj.f.,1,autrichiène
1505,autrichienne,autrichien,n.f.,1,autrichiène
1506,aux,au,art.contractépl.,2,aus
1507,auxotrophe,auxotrophe,n.m.,3,auxotrofe
1508,auxquels,auxquels,pron.rel.,2,ausquels
1508,auxquelles,auxquels,pron.rel.,1 2,ausquèles
1508,auxquels,auxquels,pron.interr.,2,ausquels
1508,auxquelles,auxquels,pron.interr.,1 2,ausquèles
1509,avalancheux,avalancheux,adj.m.sg.pl.,2,avalancheus
1510,avantageux,avantageux,adj.m.sg.pl.,2,avantageus
1511,avaricieux,avaricieux,adj.m.,2,avaricieus
1512,aventureux,aventureux,adj.m.sg.pl.,2,aventureus
1513,aveuglette (à l’),aveuglette,loc.adv.,1,aveuglète (à l’)
1514,avionnerie,avionnerie,n.f.,1,avionerie
1515,avionnette,avionnette,n.f.,1,avionète
1516,avionneur,avionneur,n.m.,1,avioneur
1517,avironner,avironner,v.intr.,1,avironer
1518,avocette,avocette,n.f.,1,avocète
1519,axérophtol,axérophtol,n.m.,3,axéroftol
1520,axiaux,axial,adj.m.pl.,2,axiaus
1521,axillaire,axillaire,adj.,1,axilaire
1522,axisymétrique,axisymétrique,adj.,3,axisimétrique
1523,ayatollah,ayatollah,n.m.,1 3’,ayatola
1524,azimutaux,azimutal,adj.m.pl.,2,azimutaus
1525,azoteux,azoteux,adj.m.sg.pl.,2,azoteus
1526,azothydrique,azothydrique,adj.,3,azotidrique
1527,azuréenne,azuréen,adj.,1,azuréène
1528,azygos,azygos,adj.,3,azigos
1528,azygos,azygos,n.f.,3,azigos
1529,azyme,azyme,adj.,3,azime
1530,babelutte,babelutte,n.f.,* 1,babelute
1531,babeurre,babeurre,n.m.,1,babeure
1532,babysitteur,babysitteur,n.,1,babysiteur
1532,babysitteuse,babysitteur,n.,1,babysiteuse
1533,babysitting,babysitting,n.m.,1,babysiting
1534,baccalauréat,baccalauréat,n.m.,1,bacalauréat
1535,baccara,baccara,n.m.,1,bacara
1536,bacchanale,bacchanale,n.f.,3’,bacanale
1537,bacchante,bacchante,n.f.,3’,bacante
1538,bacillaire,bacillaire,adj.,1,bacilaire
1538,bacillaire,bacillaire,n.,1,bacilaire
1539,bacille,bacille,n.m.,1,bacile
1540,bacillifère,bacillifère,n.,1,bacilifère
1540,bacillifère,bacillifère,adj.,1,bacilifère
1541,bacilliforme,bacilliforme,adj.,1,baciliforme
1542,bacillose,bacillose,n.f.,1,bacilose
1543,bacillurie,bacillurie,n.f.,1,bacilurie
1544,backgammon,backgammon,n.m.,1,backgamon
1545,bactérienne,bactérien,adj.f.,1,bactériène
1546,bactériochlorophylle,bactériochlorophylle,n.f.,1 3,bactérioclorofile
1547,bactériophage,bactériophage,n.m.,3,bactériofage
1548,badigeonnage,badigeonnage,n.m.,1,badigeonage
1549,badigeonner,badigeonner,v.tr.,1,badigeoner
1550,badigeonneur,badigeonneur,n.,1,badigeoneur
1550,badigeonneuse,badigeonneur,n.,1,badigeoneuse
1551,baffe,baffe,n.f.,1,bafe
1552,baffer,baffer,v.tr.,1,bafer
1553,baffle,baffle,n.m.,1,bafle
1554,bagarre,bagarre,n.f.,1,bagare
1555,bagarrer,bagarrer,v.,1,bagarer
1556,bagarreur,bagarreur,adj.,1,bagareur
1556,bagarreuse,bagarreur,adj.,1,bagareuse
1556,bagarreur,bagarreur,n.,1,bagareur
1556,bagarreuse,bagarreur,n.,1,bagareuse
1557,bagatelle,bagatelle,n.f.,1,bagatèle
1558,baguette,baguette,n.f.,1,baguète
1559,baux,bail,n.m.pl.,2,baus
1560,baux,bau,n.m.pl.,2,baus
1561,bâillonnement,bâillonnement,n.m.,1,bâillonement
1562,bâillonner,bâillonner,v.tr.,1,bâilloner
1563,baïonnette,baïonnette,n.f.,1,baïonète
1564,baladodiffusion,baladodiffusion,n.f.,1,baladodifusion
1565,balancelle,balancelle,n.f.,1,balancèle
1566,balayette,balayette,n.f.,1,balayète
1567,balconnet,balconnet,n.m.,1,balconet
1568,baleineaux,baleineau,n.m.pl.,2,baleineaus
1569,balisticienne,balisticien,n.f.,1,balisticiène
1570,baliveaux,baliveau,n.m.pl.,2,baliveaus
1571,ballade,ballade,n.f.,1,balade
1572,ballant,ballant,adj.,1,balant
1572,ballante,ballant,adj.,1,balante
1572,ballant,ballant,n.m.,1,balant
1573,ballast,ballast,n.m.,1,balast
1574,ballastage,ballastage,n.m.,1,balastage
1575,ballaster,ballaster,v.tr.,1,balaster
1576,ballastière,ballastière,n.f.,1,balastière
1578,balle,balle,n.f.,* 1,bale
1579,baller,baller,v.intr.,1,baler
1580,ballerine,ballerine,n.f.,1,balerine
1581,ballet,ballet,n.m.,1,balet
1582,balletomane,balletomane,n.,1,balétomane
1583,ballon,ballon,n.m.,1,balon
1584,ballonné,ballonné,n.m.,1,baloné
1585,ballonnement,ballonnement,n.m.,1,balonement
1586,ballonner,ballonner,v.tr.,1,baloner
1587,ballonnet,ballonnet,n.m.,1,balonet
1588,ballot,ballot,n.m.,1,balot
1589,ballotage,ballotage,n.m.,1,balotage
1590,ballote,ballote,n.f.,1,balote
1591,ballotement,ballotement,n.m.,1,balotement
1592,balloter,balloter,v.,1,baloter
1593,ballotin,ballotin,n.m.,1,balotin
1594,ballotine,ballotine,n.f.,1,balotine
1595,balltrap,balltrap,n.m.,1,baltrap
1596,balluchon,balluchon,n.m.,* 1,baluchon
1597,balnéothérapie,balnéothérapie,n.f.,3,balnéotérapie
1598,balthazar,balthazar,n.m.,3’,baltazar
1599,banaux,banal,adj.m.pl.,2,banaus
1600,bandeaux,bandeau,n.m.pl.,2,bandeaus
1601,bandelette,bandelette,n.f.,1,bandelète
1602,banne,banne,n.f.,1,bane
1603,banneton,banneton,n.m.,1,baneton
1604,bannette,bannette,n.f.,1,banète
1605,banni,banni,adj.,1,bani
1605,bannie,banni,adj.,1,banie
1606,bannière,bannière,n.f.,1,banière
1607,bannir,bannir,v.tr.,1,banir
1608,bannissement,bannissement,n.m.,1,banissement
1609,banquette,banqueter,v.tr.,1,banquète
1610,banquette,banquette,n.f.,1,banquète
1611,baptismaux,baptismal,adj.m.pl.,2,baptismaus
1612,barattage,barattage,n.m.,1,baratage
1613,baratte,baratte,n.f.,1,barate
1614,baratter,baratter,v.tr.,1,barater
1615,barbeaux,barbeau,n.m.pl.,2,barbeaus
1616,barbichette,barbichette,n.f.,1,barbichète
1617,barcarolle,barcarolle,n.f.,1,barcarole
1618,bardeaux,bardeau,n.m.pl.,2,bardeaus
1619,baresthésie,baresthésie,n.f.,3,barestésie
1620,barillet,barillet,n.m.,,barillet
1620,barillet,barilet,n.m.,1,barilet
1621,bar-mitsvah,bar-mitsvah,n.f.inv.,3’,bar-mitsva
1622,barographe,barographe,n.m.,3,barografe
1623,baronnage,baronnage,n.m.,1,baronage
1624,baronnet,baronnet,n.m.,1,baronet
1625,baronnie,baronnie,n.f.,1,baronie
1626,baroqueux,baroqueux,n.m.sg.pl.,2,baroqueus
1627,barquette,barquette,n.f.,1,barquète
1628,barracuda,barracuda,n.m.,1,baracuda
1629,barrage,barrage,n.m.,1,barage
1630,barre,barre,n.f.,1,bare
1631,barré,barré,adj.,1,baré
1631,barrée,barré,adj.,1,barée
1631,barré,barré,n.m.,1,baré
1632,barreau,barreau,n.m.,1,bareau
1632,barreaux,barreau,n.m.,1 2,bareaus
1633,barrement,barrement,n.m.,1,barement
1634,barrer,barrer,v.tr.,1,barer
1635,barrette,barrette,n.f.,1,barète
1636,barreur,barreur,n.,1,bareur
1636,barreuse,barreur,n.,1,bareuse
1637,barricade,barricade,n.f.,1,baricade
1638,barricader,barricader,v.tr.,1,baricader
1639,barricot,barricot,n.m.,1,baricot
1640,barrière,barrière,n.f.,1,barière
1641,barrique,barrique,n.f.,1,barique
1642,barrir,barrir,v.intr.,1,barir
1643,barrissement,barrissement,n.m.,1,barissement
1644,barrit,barrit,n.m.,1,barit
1645,barrot,barrot,n.m.,1,barot
1646,bartavelle,bartavelle,n.f.,1,bartavèle
1647,bartonelle,bartonelle,n.f.,1,bartonèle
1648,bartonellose,bartonellose,n.f.,1,bartonélose
1649,barycentre,barycentre,n.m.,3,baricentre
1650,barye,barye,n.f.,3,barie
1651,barymétrie,barymétrie,n.f.,3,barimétrie
1652,baryon,baryon,n.m.,3,barion
1653,barysphère,barysphère,n.f.,3,barisfère
1654,baryte,baryte,n.f.,3,barite
1655,baryté,baryté,adj.,3,barité
1655,barytée,baryté,adj.,3,baritée
1656,barytine,barytine,n.f.,3,baritine
1657,baryton,baryton,n.m.,3,bariton
1658,baryum,baryum,n.m.,3,barium
1659,basaux,basal,adj.m.pl.,2,basaus
1660,baselle,baselle,n.f.,1,basèle
1661,basidiomycètes,basidiomycètes,n.m.pl.,3,basidiomicètes
1662,basilicaux,basilical,adj.m.pl.,2,basilicaus
1663,basiphile,basiphile,adj.,3,basifile
1664,basketteur,basketteur,n.,1,baskéteur
1664,basketteuse,basketteur,n.,1,baskéteuse
1665,basophile,basophile,adj.,3,basofile
1666,bastonnade,bastonnade,n.f.,1,bastonade
1667,bastonner,bastonner,v.tr.,1,bastoner
1668,batardeaux,batardeau,n.m.pl.,2,batardeaus
1669,bateaux,bateau,n.m.pl.,2,bateaus
1670,batelle,bateler,v.intr.,1,batèle
1671,batellerie,batellerie,n.f.,1,batèlerie
1672,bath,bath,adj.,3’,bat
1673,bathyal,bathyal,adj.,3,batial
1673,bathyale,bathyal,adj.,3,batiale
1673,bathyaux,bathyal,adj.,2 3,batiaus
1674,bathymétrie,bathymétrie,n.f.,3,batimétrie
1675,bathymétrique,bathymétrique,adj.,3,batimétrique
1676,bathyscaphe,bathyscaphe,n.m.,3,batiscafe
1677,bathysphère,bathysphère,n.f.,3,batisfère
1678,bâtonnat,bâtonnat,n.m.,1,bâtonat
1679,bâtonner,bâtonner,v.tr.,1,bâtoner
1680,bâtonnet,bâtonnet,n.m.,1,bâtonet
1681,bâtonnier,bâtonnier,n.,1,bâtonier
1681,bâtonnière,bâtonnier,n.,1,bâtonière
1682,battage,battage,n.m.,1,batage
1683,battant,battant,n.m.,1,batant
1684,battant,battant,adj.,1,batant
1684,battante,battant,adj.,1,batante
1686,batte,batte,n.f.,1,bate
1687,battée,battée,n.f.,1,batée
1688,battellement,battellement,n.m.,1,batèlement
1689,battement,battement,n.m.,1,batement
1690,batterie,batterie,n.f.,1,baterie
1691,batteur,batteur,n.m.,1,bateur
1692,batteuse,batteuse,n.f.,1,bateuse
1693,battitures,battitures,n.f.pl.,1,batitures
1694,battle-dress,battle-dress,n.m.inv.,1,batle-dress
1695,battoir,battoir,n.m.,1,batoir
1696,battre,battre,v.,1,batre
1697,battu,battu,adj.,1,batu
1697,battue,battu,adj.,1,batue
1698,battue,battue,n.f.,1,batue
1699,batture,batture,n.f.,1,bature
1701,bavette,bavette,n.f.,1,bavète
1702,baveux,baveux,adj.m.sg.pl.,2,baveus
1703,beaux,beau,adj.m.pl.,2,beaus
1703,beaux,beau,n.m.pl.,2,beaus
1704,belle,beau,adj.f.,1,bèle
1705,bebelle,bebelle,n.f.,1,bebèle
1706,bébelle,bébelle,n.f.,1,bébèle
1707,bécarre,bécarre,n.m.,1,bécare
1708,bécasseaux,bécasseau,n.m.pl.,2,bécasseaus
1709,bêchevette,bêcheveter,v.tr.,1,bêchevète
1710,bedeaux,bedeau,n.m.pl.,2,bedeaus
1711,bédéphile,bédéphile,n.,3,bédéfile
1711,bédéphile,bédéphile,adj.,3,bédéfile
1712,bedonnant,bedonnant,adj.,1,bedonant
1712,bedonnante,bedonnant,adj.,1,bedonante
1713,bedonner,bedonner,v.intr.,1,bedoner
1714,beffroi,beffroi,n.m.,1,béfroi
1715,behaviorisme,behaviorisme,n.m.,3’,beaviorisme
1716,béhaviorisme,béhaviorisme,n.m.,3’,béaviorisme
1717,behavioriste,behavioriste,n.,3’,beavioriste
1718,béhavioriste,béhavioriste,n.,3’,béavioriste
1719,behaviourisme,behaviourisme,n.m.,3’,beaviourisme
1720,behaviouriste,behaviouriste,n.,3’,beaviouriste
1721,belette,belette,n.f.,1,belète
1722,bélinogramme,bélinogramme,n.m.,1,bélinograme
1723,bélinographe,bélinographe,n.m.,3,bélinografe
1724,belladone,belladone,n.f.,1,béladone
1725,bellâtre,bellâtre,n.m.,1,bélâtre
1726,bellement,bellement,adv.,1,bèlement
1727,bellicisme,bellicisme,n.m.,1,bélicisme
1728,belliciste,belliciste,adj.,1,béliciste
1729,belligérance,belligérance,n.f.,1,béligérance
1730,belligérant,belligérant,adj.,1,béligérant
1730,belligérante,belligérant,adj.,1,béligérante
1730,belligérant,belligérant,n.,1,béligérant
1730,belligérante,belligérant,n.,1,béligérante
1731,belliqueux,belliqueux,adj.,1 2,béliqueus
1731,belliqueuse,belliqueux,adj.,1,béliqueuse
1732,belluaire,belluaire,n.m.,1,béluaire
1733,benne,benne,n.f.,1,bène
1734,benthique,benthique,adj.,3,bentique
1735,benthos,benthos,n.m.,3,bentos
1736,béotienne,béotien,n.f.,1,béotiène
1736,béotienne,béotien,adj.f.,1,béotiène
1737,berbérophone,berbérophone,adj.,3,berbérofone
1737,berbérophone,berbérophone,n.,3,berbérofone
1738,berceaux,berceau,n.m.pl.,2,berceaus
1739,bercelonnette,bercelonnette,n.f.,1,bercelonète
1740,bergeronnette,bergeronnette,n.f.,1,bergeronète
1741,berthe,berthe,n.f.,3’,berte
1742,bertillonnage,bertillonnage,n.m.,1,bertillonage
1743,béryl,béryl,n.m.,3,béril
1744,bérylliose,bérylliose,n.f.,1 3,bériliose
1745,béryllium,béryllium,n.m.,1 3,bérilium
1746,beryx,beryx,n.m.,3,bérix
1747,béryx,béryx,n.m.,3,bérix
1748,besogneux,besogneux,adj.m.sg.pl.,2,besogneus
1749,best-selleur,best-selleur,n.m.,1,best-séleur
1750,bestiaux,bestial,adj.m.pl.,2,bestiaus
1751,bestiaux,bestiau,n.m.pl.,2,bestiaus
1752,bêtathérapie,bêtathérapie,n.f.,3,bêtatérapie
1753,bétonnage,bétonnage,n.m.,1,bétonage
1754,bétonner,bétonner,v.,1,bétoner
1755,bétonneuse,bétonneuse,n.f.,1,bétoneuse
1756,bétonnière,bétonnière,n.f.,1,bétonière
1757,bette,bette,n.f.,1,bète
1758,betterave,betterave,n.f.,1,bèterave
1759,betteravier,betteravier,adj.,1,bèteravier
1759,betteravière,betteravier,adj.,1,bèteravière
1759,betteravier,betteravier,n.m.,1,bèteravier
1760,bétyle,bétyle,n.m.,3,bétile
1761,beurette,beurette,n.f.,1,beurète
1761,beurette,beurette,adj.f.,1,beurète
1762,beurre,beurre,n.m.,1,beure
1763,beurré,beurré,n.m.,1,beuré
1764,beurré,beurré,adj.,1,beuré
1764,beurrée,beurré,adj.,1,beurée
1766,beurrer,beurrer,v.tr.,1,beurer
1767,beurrerie,beurrerie,n.f.,1,beurerie
1768,beurrier,beurrier,n.,1,beurier
1768,beurrière,beurrier,n.,1,beurière
1768,beurrier,beurrier,adj.,1,beurier
1768,beurrière,beurrier,adj.,1,beurière
1769,beylicaux,beylical,adj.m.pl.,2,beylicaus
1770,biathlète,biathlète,n.,3,biatlète
1771,biathlon,biathlon,n.m.,3,biatlon
1772,biauraux,biaural,adj.m.pl.,2,biauraus
1773,biberonner,biberonner,v.,1,biberoner
1774,bibitte,bibitte,n.f.,1,bibite
1775,bibliographe,bibliographe,n.,3,bibliografe
1776,bibliographie,bibliographie,n.f.,3,bibliografie
1777,bibliographique,bibliographique,adj.,3,bibliografique
1778,bibliophile,bibliophile,n.,3,bibliofile
1779,bibliophilie,bibliophilie,n.f.,3,bibliofilie
1780,bibliothécaire,bibliothécaire,n.,3,bibliotécaire
1781,bibliothéconomie,bibliothéconomie,n.f.,3,bibliotéconomie
1782,bibliothèque,bibliothèque,n.f.,3,bibliotèque
1783,bicarré,bicarré,adj.,1,bicaré
1783,bicarrée,bicarré,adj.,1,bicarée
1784,bicéphale,bicéphale,adj.,3,bicéfale
1785,bichette,bichette,n.f.,1,bichète
1786,bichlorure,bichlorure,n.m.,3,biclorure
1787,bichonner,bichonner,v.tr.,1,bichoner
1788,bichromate,bichromate,n.m.,3,bicromate
1789,bicipitaux,bicipital,adj.m.pl.,2,bicipitaus
1790,biculturelle,biculturel,adj.f.,1,biculturèle
1791,bicycle,bicycle,n.m.,3,bicicle
1792,bicyclette,bicyclette,n.f.,1 3,biciclète
1793,bidimensionnel,bidimensionnel,adj.,1,bidimensionel
1793,bidimensionnelle,bidimensionnel,adj.,1,bidimensionèle
1794,bidonnage,bidonnage,n.m.,1,bidonage
1795,bidonnant,bidonnant,adj.,1,bidonant
1795,bidonnante,bidonnant,adj.,1,bidonante
1796,bidonner,bidonner,v.tr.,1,bidoner
1797,bidonville,bidonville,n.m.,1,bidonvile
1798,bielle,bielle,n.f.,1,bièle
1799,biellette,biellette,n.f.,1,biélète
1800,bienheureux,bienheureux,adj.,2 3’,bien-eureus
1800,bienheureuse,bienheureux,adj.,3’,bien-eureuse
1800,bienheureux,bienheureux,n.,2 3’,bien-eureus
1800,bienheureuse,bienheureux,n.,3’,bien-eureuse
1801,biennal,biennal,adj.,1,biénal
1801,biennale,biennal,adj.,1,biénale
1801,biennaux,biennal,adj.,1 2,biénaus
1801,biennale,biennal,n.f.,1,biénale
1802,bienveillamment,bienveillamment,adv.,1,bienveillament
1803,biffage,biffage,n.m.,1,bifage
1804,biffe,biffe,n.f.,1,bife
1805,biffer,biffer,v.tr.,1,bifer
1806,biffeton,biffeton,n.m.,1,bifeton
1807,biffin,biffin,n.m.,1,bifin
1808,biffure,biffure,n.f.,1,bifure
1809,bifocaux,bifocal,adj.m.pl.,2,bifocaus
1810,bigarré,bigarré,adj.,1,bigaré
1810,bigarrée,bigarré,adj.,1,bigarée
1811,bigarreau,bigarreau,n.m.,1,bigareau
1811,bigarreaux,bigarreau,n.m.,1 2,bigareaus
1812,bigarrer,bigarrer,v.tr.,1,bigarer
1813,bigarrure,bigarrure,n.f.,1,bigarure
