#ligne,Grafie initiale,Lème,Catégorie,Raison,Grafie modifiée
102,accorte,accort,adj.,1,acorte
103,accostable,accostable,adj.,1,acostable
104,accostage,accostage,n.m.,1,acostage
105,accoster,accoster,v.tr.,1,acoster
106,accot,accot,n.m.,1,acot
107,accotement,accotement,n.m.,1,acotement
108,accoter,accoter,v.tr.,1,acoter
109,accotoir,accotoir,n.m.,1,acotoir
110,accouchée,accouchée,n.f.,1,acouchée
111,accouchement,accouchement,n.m.,1,acouchement
112,accoucher,accoucher,v.tr.,1,acoucher
113,accoucheur,accoucheur,n.,1,acoucheur
113,accoucheuse,accoucheur,n.,1,acoucheuse
114,accoudement,accoudement,n.m.,1,acoudement
115,accouder (s’),accouder (s’),v.pron.,1,acouder (s’)
116,accoudoir,accoudoir,n.m.,1,acoudoir
117,accouple,accouple,n.f.,1,acouple
118,accouplé,accouplé,adj.,1,acouplé
118,accouplée,accouplé,adj.,1,acouplée
119,accouplement,accouplement,n.m.,1,acouplement
120,accoupler,accoupler,v.tr.,1,acoupler
121,accourcir,accourcir,v.,1,acourcir
122,accourir,accourir,v.intr.,1,acourir
123,accoutrement,accoutrement,n.m.,1,acoutrement
124,accoutrer,accoutrer,v.tr.,1,acoutrer
125,accoutumance,accoutumance,n.f.,1,acoutumance
126,accoutumé,accoutumé,adj.,1,acoutumé
126,accoutumée,accoutumé,adj.,1,acoutumée
127,accoutumer,accoutumer,v.tr.,1,acoutumer
128,accouvage,accouvage,n.m.,1,acouvage
129,accréditation,accréditation,n.f.,1,acréditation
130,accréditer,accréditer,v.tr.,1,acréditer
131,accréditeur,accréditeur,n.m.,1,acréditeur
132,accréditif,accréditif,adj.,1,acréditif
132,accréditive,accréditif,adj.,1,acréditive
132,accréditif,accréditif,n.m.,1,acréditif
133,accrescent,accrescent,adj.,1,acrescent
133,accrescente,accrescent,adj.,1,acrescente
134,accrétion,accrétion,n.f.,1,acrétion
135,accro,accro,adj.,1,acro
135,accro,accro,n.,1,acro
136,accrobranche,accrobranche,n.f.,* 1,acrobranche
137,accroc,accroc,n.m.,1,acroc
138,accrochage,accrochage,n.m.,1,acrochage
139,accroche,accroche,n.f.,1,acroche
140,accrocher,accrocher,v.,1,acrocher
141,accrocheur,accrocheur,adj.,1,acrocheur
141,accrocheuse,accrocheur,adj.,1,acrocheuse
141,accrocheur,accrocheur,n.,1,acrocheur
141,accrocheuse,accrocheur,n.,1,acrocheuse
142,accroire,accroire,v.tr.,1,acroire
143,accroissement,accroissement,n.m.,1,acroissement
144,accroitre,accroitre,v.tr.,1,acroitre
145,accroupir (s’),accroupir (s’),v.pron.,1,acroupir (s’)
146,accroupissement,accroupissement,n.m.,1,acroupissement
147,accru,accru,n.m.,1,acru
148,accrue,accrue,n.f.,1,acrue
149,accueil,accueil,n.m.,1,acueil
150,accueillant,accueillant,adj.,1,acueillant
150,accueillante,accueillant,adj.,1,acueillante
150,accueillant,accueillant,n.,1,acueillant
150,accueillante,accueillant,n.,1,acueillante
151,accueillir,accueillir,v.tr.,1,acueillir
152,acculée,acculée,n.f.,1,aculée
153,acculer,acculer,v.tr.,1,aculer
154,acculturation,acculturation,n.f.,1,aculturation
155,accumulateur,accumulateur,n.m.,1,acumulateur
156,accumulation,accumulation,n.f.,1,acumulation
157,accumuler,accumuler,v.tr.,1,acumuler
158,accus,accus,n.m.sg.pl.,1,acus
159,accusateur,accusateur,n.,1,acusateur
159,accusatrice,accusateur,n.,1,acusatrice
159,accusateur,accusateur,adj.,1,acusateur
159,accusatrice,accusateur,adj.,1,acusatrice
160,accusatif,accusatif,n.m.,1,acusatif
161,accusation,accusation,n.f.,1,acusation
162,accusatoire,accusatoire,adj.,1,acusatoire
163,accusé,accusé,n.,1,acusé
163,accusée,accusé,n.,1,acusée
164,accuser,accuser,v.tr.,1,acuser
165,acellulaire,acellulaire,adj.,1,acélulaire
166,acéphale,acéphale,adj.,3,acéfale
166,acéphale,acéphale,n.,3,acéfale
167,acétocellulose,acétocellulose,n.f.,1,acétocélulose
168,acétylcholine,acétylcholine,n.f.,3,acétilcoline
169,acétylcoenzyme,acétylcoenzyme,n.f.,3,acétilcoenzime
170,acétyle,acétyle,n.m.,3,acétile
171,acétylène,acétylène,n.m.,3,acétilène
172,acétylénique,acétylénique,adj.,3,acétilénique
173,acétylsalicylique,acétylsalicylique,adj.,3,acétilsalicilique
174,achaine,achaine,n.m.,3,acaine
175,achalasie,achalasie,n.f.,3,acalasie
176,achène,achène,n.m.,* 3,akène
177,achillée,achillée,n.f.,1 3,aquilée
178,acholie,acholie,n.f.,3,acolie
179,achondroplasie,achondroplasie,n.f.,3,acondroplasie
180,achoppement,achoppement,n.m.,1,achopement
181,achopper,achopper,v.tr.ind.,1,achoper
182,achromat,achromat,n.m.,3,acromat
183,achromatique,achromatique,adj.,3,acromatique
184,achromatiser,achromatiser,v.tr.,3,acromatiser
185,achromatisme,achromatisme,n.m.,3,acromatisme
186,achromatopsie,achromatopsie,n.f.,3,acromatopsie
187,achromie,achromie,n.f.,3,acromie
188,achromique,achromique,adj.,3,acromique
189,achylie,achylie,n.f.,3,achilie
190,acidophile,acidophile,adj.,3,acidofile
191,acineux,acineux,adj.m.sg.pl.,2,acineus
192,acolytat,acolytat,n.m.,3,acolitat
193,acolyte,acolyte,n.m.,3,acolite
194,acotylédone,acotylédone,adj.,3,acotilédone
195,acouphène,acouphène,n.m.,3,acoufène
196,acquittement,acquittement,n.m.,1,acquitement
197,acquitter,acquitter,v.tr.,1,acquiter
198,acrimonieux,acrimonieux,adj.m.sg.pl.,2,acrimonieus
199,acrocéphale,acrocéphale,adj.,3,acrocéfale
200,acrocéphalie,acrocéphalie,n.f.,3,acrocéfalie
201,acrocyanose,acrocyanose,n.f.,3,acrocianose
202,acromiaux,acromial,adj.m.pl.,2,acromiaus
203,acronyme,acronyme,n.m.,3,acronime
204,acroparesthésie,acroparesthésie,n.f.,3,acroparestésie
205,acrophobie,acrophobie,n.f.,3,acrofobie
206,acrylique,acrylique,adj.,3,acrilique
206,acrylique,acrylique,n.m.,3,acrilique
207,actancielle,actanciel,adj.f.,1,actancièle
208,actinomycète,actinomycète,n.m.,3,actinomicète
209,actinomycose,actinomycose,n.f.,3,actinomicose
210,actinoptérygiens,actinoptérygiens,n.m.pl.,3,actinoptérigiens
211,actinothérapie,actinothérapie,n.f.,3,actinotérapie
212,actionnaire,actionnaire,n.,1,actionaire
213,actionnariat,actionnariat,n.m.,1,actionariat
214,actionnement,actionnement,n.m.,1,actionement
215,actionner,actionner,v.tr.,1,actioner
216,actionneur,actionneur,n.m.,1,actioneur
217,actuarielle,actuariel,adj.f.,1,actuarièle
218,actuelle,actuel,adj.f.,1,actuèle
219,actuellement,actuellement,adv.,1,actuèlement
220,acyclique,acyclique,adj.,3,aciclique
221,addax,addax,n.m.,1,adax
222,addenda,addenda,n.m.,1,adenda
223,addict,addict,adj.,1,adict
223,addict,addict,n.,1,adict
224,addictif,addictif,adj.,1,adictif
224,addictive,addictif,adj.,1,adictive
225,addiction,addiction,n.f.,1,adiction
226,addictologie,addictologie,n.f.,1,adictologie
227,addictologue,addictologue,n.,1,adictologue
228,additif,additif,adj.,1,aditif
228,additive,additif,adj.,1,aditive
228,additif,additif,n.m.,1,aditif
229,addition,addition,n.f.,1,adition
230,additionnel,additionnel,adj.,1,aditionel
230,additionnelle,additionnel,adj.,1,aditionèle
231,additionner,additionner,v.tr.,1,aditioner
232,additivé,additivé,adj.,1,aditivé
232,additivée,additivé,adj.,1,aditivée
233,adducteur,adducteur,adj.m.,1,aducteur
233,adducteur,adducteur,n.m.,1,aducteur
234,adduction,adduction,n.f.,1,aduction
235,adénopathie,adénopathie,n.f.,3,adénopatie
236,adhérence,adhérence,n.f.,3’,adérence
237,adhérent,adhérent,adj.,3’,adérent
237,adhérente,adhérent,adj.,3’,adérente
237,adhérent,adhérent,n.,3’,adérent
237,adhérente,adhérent,n.,3’,adérente
238,adhérer,adhérer,v.tr.ind.,3’,adérer
239,adhésif,adhésif,adj.,3’,adésif
239,adhésive,adhésif,adj.,3’,adésive
239,adhésif,adhésif,n.m.,3’,adésif
240,adhésion,adhésion,n.f.,3’,adésion
241,adiaphorèse,adiaphorèse,n.f.,3,adiaforèse
242,adieux,adieu,n.m.pl.,2,adieus
243,adipeux,adipeux,adj.m.sg.pl.,2,adipeus
244,adipocyte,adipocyte,n.m.,3,adipocite
245,adipolyse,adipolyse,n.f.,3,adipolise
246,adjectivaux,adjectival,adj.m.pl.,2,adjectivaus
247,admettre,admettre,v.tr.,1,admètre
248,admittance,admittance,n.f.,1,admitance
249,adonner,adonner,v.,1,adoner
250,adverbiaux,adverbial,adj.m.pl.,2,adverbiaus
251,adynamie,adynamie,n.f.,3,adinamie
252,ægagropile,ægagropile,n.m.,* 3,égagropile
253,ægosome,ægosome,n.m.,* 3,égosome
254,æpyornis,æpyornis,n.m.,* 3,épiornis
255,aérodynamicien,aérodynamicien,n.,1 3,aérodinamicien
256,aérodynamique,aérodynamique,n.f.,3,aérodinamique
256,aérodynamique,aérodynamique,adj.,3,aérodinamique
257,aérodynamisme,aérodynamisme,n.m.,3,aérodinamisme
258,aérodyne,aérodyne,n.m.,3,aérodine
259,aérogramme,aérogramme,n.m.,1,aérograme
260,aérographe,aérographe,n.m.,3,aérografe
261,aérolithe,aérolithe,n.m.,* 3,aérolite
262,aéropathie,aéropathie,n.f.,3,aéropatie
263,aérophagie,aérophagie,n.f.,3,aérofagie
264,aérophone,aérophone,n.m.,3,aérofone
265,aéropostaux,aéropostal,adj.m.pl.,2,aéropostaus
266,aérosolthérapie,aérosolthérapie,n.f.,3,aérosoltérapie
267,aérospatiaux,aérospatial,adj.m.pl.,2,aérospatiaus
268,aérotechnique,aérotechnique,n.f.,3,aérotecnique
268,aérotechnique,aérotechnique,adj.,3,aérotecnique
269,aéroterrestre,aéroterrestre,adj.,1,aérotérestre
270,aérothermique,aérothermique,adj.,3,aérotermique
271,æschne,æschne,n.f.,3’,escne
272,æthuse,æthuse,n.f.,3,étuse
273,affabilité,affabilité,n.f.,1,afabilité
274,affable,affable,adj.,1,afable
275,affablement,affablement,adv.,1,afablement
276,affabulateur,affabulateur,adj.,1,afabulateur
276,affabulatrice,affabulateur,adj.,1,afabulatrice
276,affabulateur,affabulateur,n.,1,afabulateur
276,affabulatrice,affabulateur,n.,1,afabulatrice
277,affabulation,affabulation,n.f.,1,afabulation
278,affabuler,affabuler,v.,1,afabuler
279,affacturage,affacturage,n.m.,1,afacturage
280,affadir,affadir,v.tr.,1,afadir
281,affadissant,affadissant,adj.,1,afadissant
281,affadissante,affadissant,adj.,1,afadissante
282,affadissement,affadissement,n.m.,1,afadissement
283,affaiblir,affaiblir,v.tr.,1,afaiblir
284,affaiblissant,affaiblissant,adj.,1,afaiblissant
284,affaiblissante,affaiblissant,adj.,1,afaiblissante
285,affaiblissement,affaiblissement,n.m.,1,afaiblissement
286,affaiblisseur,affaiblisseur,n.m.,1,afaiblisseur
287,affaire,affaire,n.f.,1,afaire
288,affairé,affairé,adj.,1,afairé
288,affairée,affairé,adj.,1,afairée
289,affairement,affairement,n.m.,1,afairement
290,affairer (s’),affairer (s’),v.pron.,1,afairer (s’)
291,affairisme,affairisme,n.m.,1,afairisme
292,affairiste,affairiste,n.,1,afairiste
293,affaissement,affaissement,n.m.,1,afaissement
294,affaisser,affaisser,v.tr.,1,afaisser
295,affaitage,affaitage,n.m.,1,afaitage
296,affaitement,affaitement,n.m.,1,afaitement
297,affalement,affalement,n.m.,1,afalement
298,affaler,affaler,v.tr.,1,afaler
299,affamé,affamé,adj.,1,afamé
299,affamée,affamé,adj.,1,afamée
300,affamer,affamer,v.tr.,1,afamer
301,affameur,affameur,n.,1,afameur
301,affameuse,affameur,n.,1,afameuse
302,affect,affect,n.m.,1,afect
303,affectation,affectation,n.f.,1,afectation
304,affecté,affecté,adj.,1,afecté
304,affectée,affecté,adj.,1,afectée
305,affecter,affecter,v.tr.,1,afecter
306,affectif,affectif,adj.,1,afectif
306,affective,affectif,adj.,1,afective
307,affection,affection,n.f.,1,afection
308,affectionné,affectionné,adj.,1,afectioné
308,affectionnée,affectionné,adj.,1,afectionée
309,affectionner,affectionner,v.tr.,1,afectioner
310,affectivité,affectivité,n.f.,1,afectivité
311,affectueusement,affectueusement,adv.,1,afectueusement
312,affectueux,affectueux,adj.,1 2,afectueus
312,affectueuse,affectueux,adj.,1,afectueuse
313,afférent,afférent,adj.,1,aférent
313,afférente,afférent,adj.,1,aférente
314,affermage,affermage,n.m.,1,afermage
315,affermer,affermer,v.tr.,1,afermer
316,affermir,affermir,v.tr.,1,afermir
317,affermissement,affermissement,n.m.,1,afermissement
318,affété,affété,adj.,1,afété
318,affétée,affété,adj.,1,afétée
319,afféterie,afféterie,n.f.,1,afèterie
320,affichage,affichage,n.m.,1,afichage
321,affiche,affiche,n.f.,1,afiche
322,afficher,afficher,v.tr.,1,aficher
323,affichette,affichette,n.f.,1,afichète
324,afficheur,afficheur,n.m.,1,aficheur
325,affichiste,affichiste,n.,1,afichiste
326,affidavit,affidavit,n.m.,1,afidavit
327,affidé,affidé,adj.,1,afidé
327,affidée,affidé,adj.,1,afidée
328,affilage,affilage,n.m.,1,afilage
329,affilée (d’),affilée,loc.adv.,1,afilée (d’)
330,affilement,affilement,n.m.,1,afilement
331,affiler,affiler,v.tr.,1,afiler
332,affiliation,affiliation,n.f.,1,afiliation
