pre1990,post1990
cloîtreraient,cloitreraient
huîtrées,huitrées
rencloîtrai,rencloitrai
rencloîtrer,rencloitrer
rencloîtrez,rencloitrez
rencloîtré,rencloitré
rencloîtrée,rencloitrée
sûrs,surs
